id,nome,preco,codigo,por_peso,codigo_id,vendido
354,"ESCONDIDINHO DE CARNE",9,7890000004107,0,410,1
355,"ESFIRRA ABERTA UNID.",4,7890000005579,0,557,1
356,"ESFIRRA UNID.",5,7890000005715,0,571,1
357,ESPETINHO,5,7890000005807,0,580,1
358,"ESPETINHO DE FRANGO",7,7890000907620,0,90762,1
362,"FANTA GUARANA LATA 350ML",5,7894900093001,0,349,1
363,"FANTA GUARANA PET 200ML 12U MAINLINE",2,78937765,0,90752,1
364,"FANTA LARANJA 2L",12,7894900031515,0,327,1
365,"FANTA LARANJA 350 ML",5,7894900030013,0,348,1
366,"FANTA LARANJA 600ML",7,7894900031607,0,337,1
367,"FANTA LARANJA PET 200ML 12U MAINLINE",2,78936478,0,90751,1
368,"FANTA UVA  350 ML",5,7890000004602,0,460,1
369,"FANTA UVA 600ML",7,7894900053630,0,338,1
370,"FANTA UVA LT 350 ML",5,7894900050011,0,641,1
372,"FARINHA DE PAO",8,7890000007382,1,738,1
376,"FATIA TORTA NINHO COM CHOCOLATE",8,7890000004497,0,449,1
382,"FINI TUBES MORANGO E LARANJA",1,7898591454561,0,77,1
383,"FINI TUBES MORANGO E NATA",1,7890000000543,0,54,1
384,"FINI TUBES TUTTI FRUTTI 15G 12",1,7898591459474,0,667,1
385,"FINI TUBES UVA",1,7898591455643,0,76,1
394,"FOLHA DE 1 ZOMO",2,7890000006064,0,606,1
400,"FRANGO ASSADO",37,7890000005241,0,524,1
401,"FRANGO ASSADO + GUARAPAN 2L",45,7890000907675,0,90767,1
414,"GARRAFA DE CAFE",12,7890000007139,0,713,1
416,"GELADINHO GEL FRUTA",0,7890000005609,0,560,1
417,"GELADINHO GEL FRUTAS",0,7890000000154,0,15,1
419,"GELO EM CUBOS 4KG",9,7890000907576,0,90757,1
420,"GELO EM CUBOS 4KG ( REVENDA )",6,7890000907583,0,90758,1
429,"GUARANA ANTARCTICA 200ML",2,7891991014908,0,90829,1
430,"GUARANA ANTARCTICA LATA 350ML",4,7891991000826,0,90830,1
431,"GUARANA ANTARCTICA PET 2L",11,7891991001342,0,90828,1
432,"GUARANA KUAT 2L",10,7894900911510,0,494,1
433,"GUARAPAN 2L",10,7894900951516,0,668,1
434,"HAMBURGUE ARTESANAL",14,7890000004503,0,450,1
436,"HAMBURGUETE UNID.",6,7890000004046,0,404,1
437,"HAMBURGUETE UNID. CRU",3,7890000004787,0,478,1
439,"HOT DOG ABERTO MARMITA",9,7890000003964,0,396,1
440,"HOT DOG PAULISTA UND.",5,7890000003902,0,390,1
441,"HOT DOG PAULISTA UND. CRU",3,7890000007535,0,753,1
442,"I9 MARACUJA 500ML",4,7894900111002,0,333,1
443,"I9 UVA VERDE 500ML",4,7890000003346,0,334,1
444,"ICE TEA LIMAO PET 450ML",4,7891098040848,0,324,1
445,"ICE TEA PESSEGO 450ML",4,7891098040893,0,323,1
446,"ISQUEIRO BIC",5,70330913431,0,612,1
447,"ISQUEIRO BIC PEQUENO",4,70330913431,0,90744,1
448,"ISQUEIRO TRANSPARENTE",3,6958731901094,0,607,1
449,"JOELHO DE MOCA UND.",5,7890000003896,0,389,1
450,"JOELHO DE MOCA UND. CRU",3,7890000004794,0,479,1
451,"JOELHO DE MOCA UND. CRU 2",3,7890000007542,0,754,1
452,"KAISER LT 473 ML 12 PACK",5,7896045503414,0,664,1
453,"KAPO LARANJA 200 ML",3,7894900563702,0,90833,1
454,"KAPO MAR 200 ML",3,7894900573701,0,495,1
455,"KAPO MOR 200 ML",3,7894900583700,0,342,1
456,"KAPO UVA 200 ML",3,7894900593709,0,343,1
457,"KETCHUP HEMMER TRADICIONAL 320G",10,7891031409404,0,535,1
458,"KIBE MINE",32,7890000001533,1,153,1
459,"KIBE MINE CRU",28,7890000003605,1,360,1
460,"KIBE RECH. CARNE UNIDADE",4,7890000003636,0,363,1
461,"KIBE RECH. CARNE UNIDADE CRU",3,7890000004237,0,423,1
462,"KIBE RECH. CATUPIRY UNIDADE",4,7890000003643,0,364,1
463,"KIBE RECH. CATUPIRY UNIDADE CRU",3,7890000004244,0,424,1
464,"KUAT GUARANA PET 200ML",2,7890000908320,0,90832,1
465,"KUAT LATA 350ML",5,7894900910018,0,640,1
466,"KUAT PET 600 ML",7,7894900911602,0,459,1
467,"LASANHA DE CARNE MARMITA",8,7890000005906,0,590,1
468,"LASANHA DE FRANGO MARMITA",8,7890000005890,0,589,1
469,"LEITE C/ TODDY",2,7890000005852,0,585,1
473,"LEITE L VIDA DESNATADO CAMPONESA 1 LT",7,7890000004398,0,439,1
474,"LEITE L VIDA INTEGRAL C/TAMPA UAI 1LT",6,7898659280620,0,507,1
475,"LEITE L VIDA INTEGRAL CAMPONESA 1 LT",7,7896259412861,0,438,1
476,"LEITE L VIDA INTEGRAL CAMPONESA 12/1 LT",0,7890000005654,0,565,1
477,"LEITE L VIDA INTEGRAL UAI 12/1 LT",6,7890000005289,0,528,1
478,"LEITE PIRACANJUBA DESNATADO CX 1L",7,7898215151722,0,451,1
484,"MACANZINHA UNID.",0,7890000003742,0,374,1
487,"MAIONESE HEMMER TRADICIONAL 290G",11,7891031412022,0,536,1
489,"MAIONESE MARMITA GRANDE",13,7890000005258,0,525,1
495,"MANTEIGA COM SAL CRISTAULAT 200 G",13,7898011150233,0,90803,1
503,"MEIO CENTO DE DOCES",50,7890000005203,0,520,1
504,"MEIO CENTO SALGADOS VARIADOS",45,7890000004039,0,403,1
505,"MEIO CENTO SALGADOS VARIADOS PRECO ANTIGO",35,7890000907477,0,90747,1
507,"MENTOS FRUIT",2,7896262304351,0,32,1
508,"MENTOS FRUTAS STICK 16P",2,7890000006651,0,665,1
509,"MENTOS FRUTAS VERMELHAS",2,7895144603063,0,17,1
510,"MENTOS MINT",2,7896262304306,0,30,1
511,"MENTOS TUTTI FRUTTI",2,7890000000314,0,31,1
512,"MENTOS TUTTI-FRUTTI STICK 16",2,7890000006668,0,666,1
513,"MENTOS YOGURT MORANGO",2,7895144603087,0,90805,1
521,"MINGAU DE MILHO VERDE",4,7890000003186,0,318,1
